date,count,count_gay,count_straight,count_aroace,count_polysexual
2020-08-24,59,44,14,59,12
2020-08-23,42,24,8,42,2
2020-08-22,48,25,7,48,1
2020-08-21,20,10,5,20,2
2020-08-20,41,31,13,41,5
2020-08-19,35,25,11,35,6
2020-08-18,24,17,4,24,6
2020-08-17,34,22,12,34,5
2020-08-16,39,20,12,39,9
2020-08-15,38,25,5,38,2
2020-08-14,34,19,7,34,2
2020-08-13,34,23,6,34,2
2020-08-12,31,24,5,31,3
2020-08-11,48,32,4,48,7
2020-08-10,44,28,14,44,6
2020-08-09,33,28,15,33,4
2020-08-08,31,20,8,31,0
2020-08-07,37,23,15,37,4
2020-08-06,20,14,3,20,2
2020-08-05,30,22,6,30,7
2020-08-04,33,18,8,33,5
2020-08-03,55,27,7,55,3
2020-08-02,33,29,6,33,5
2020-08-01,20,11,1,20,2
2020-07-31,39,29,9,39,4
2020-07-30,50,26,12,50,0
2020-07-29,41,28,12,41,1
2020-07-28,35,23,8,35,6
2020-07-27,31,22,6,31,8
2020-07-26,39,22,11,39,2
2020-07-25,36,24,9,36,7
2020-07-24,34,22,13,34,5
2020-07-23,32,22,6,32,1
2020-07-22,24,17,2,24,0
2020-07-21,17,14,5,17,4
2020-07-20,27,22,5,27,2
2020-07-19,23,16,3,23,0
2020-07-18,29,25,3,29,2
2020-07-17,47,29,4,47,10
2020-07-16,33,25,14,33,8
2020-07-15,34,23,9,34,1
2020-07-14,38,23,2,38,3
2020-07-13,38,30,13,38,7
2020-07-12,24,21,11,24,0
2020-07-11,39,23,7,39,4
2020-07-10,30,22,5,30,6
2020-07-09,23,22,2,23,3
2020-07-08,27,18,3,27,3
2020-07-07,33,20,10,33,3
2020-07-06,29,14,11,29,1
2020-07-05,36,21,4,36,0
2020-07-04,40,20,7,40,0
2020-07-03,38,25,4,38,5
2020-07-02,36,25,8,36,10
2020-07-01,46,36,9,46,14
2020-06-30,48,18,9,48,11
2020-06-29,25,14,9,25,5
2020-06-28,47,36,8,47,11
2020-06-27,36,30,10,36,9
2020-06-26,26,23,0,26,7
2020-06-25,53,36,6,53,7
2020-06-24,43,35,7,43,7
2020-06-23,52,43,7,52,9
2020-06-22,44,31,7,44,7
2020-06-21,41,31,9,41,6
2020-06-20,31,20,3,31,6
2020-06-19,34,31,13,34,7
2020-06-18,47,27,9,47,4
2020-06-17,57,33,15,57,8
2020-06-16,49,26,9,49,1
2020-06-15,43,26,8,43,4
2020-06-14,35,22,12,35,12
2020-06-13,31,20,9,31,5
2020-06-12,32,20,8,32,6
2020-06-11,24,13,6,24,8
2020-06-10,39,27,7,39,7
2020-06-09,41,37,6,41,7
2020-06-08,42,24,8,42,2
2020-06-07,38,22,7,38,9
2020-06-06,47,30,7,47,6
2020-06-05,40,21,8,40,1
2020-06-04,30,23,9,30,3
2020-06-03,40,23,10,40,4
2020-06-02,43,28,12,43,15
2020-06-01,58,42,25,58,8
2020-05-31,28,20,8,28,6
2020-05-30,31,26,1,31,8
2020-05-29,43,22,15,43,3
2020-05-28,22,13,2,22,5
2020-05-27,36,31,11,36,7
2020-05-26,26,15,2,26,3
2020-05-25,45,40,12,45,6
2020-05-24,23,13,9,23,3
2020-05-23,46,22,13,46,14
2020-05-22,31,18,13,31,0
2020-05-21,25,21,6,25,4
2020-05-20,36,33,10,36,0
2020-05-19,42,31,7,42,3
2020-05-18,33,19,5,33,7
2020-05-17,42,27,5,42,3
2020-05-16,38,25,4,38,1
2020-05-15,31,17,1,31,2
2020-05-14,34,26,8,34,3
2020-05-13,42,30,6,42,6
2020-05-12,45,36,9,45,3
2020-05-11,35,27,10,35,1
2020-05-10,27,21,8,27,2
2020-05-09,34,23,9,34,8
2020-05-08,40,37,8,40,2
2020-05-07,31,16,6,31,2
2020-05-06,26,21,4,26,4
2020-05-05,27,19,4,27,5
2020-05-04,48,32,6,48,3
2020-05-03,42,36,7,42,6
2020-05-02,27,19,5,27,2
2020-05-01,44,36,12,44,15
2020-04-30,36,24,8,36,3
2020-04-29,23,15,5,23,4
2020-04-28,25,19,8,25,4
2020-04-27,35,26,9,35,1
2020-04-26,29,26,4,29,8
2020-04-25,41,31,9,41,6
2020-04-24,50,32,14,50,6
2020-04-23,32,20,8,32,2
2020-04-22,45,34,7,45,3
2020-04-21,31,18,6,31,2
2020-04-20,30,17,4,30,1
2020-04-19,41,23,7,41,1
2020-04-18,28,23,5,28,0
2020-04-17,30,22,3,30,10
2020-04-16,20,14,6,20,3
2020-04-15,33,17,5,33,2
2020-04-14,28,15,8,28,4
2020-04-13,41,33,10,41,6
2020-04-12,36,26,10,36,6
2020-04-11,30,20,2,30,2
2020-04-10,26,17,4,26,5
2020-04-09,32,19,1,32,5
2020-04-08,20,16,8,20,5
2020-04-07,40,32,7,40,7
2020-04-06,31,17,4,31,0
2020-04-05,27,16,5,27,2
2020-04-04,30,25,3,30,5
2020-04-03,34,22,9,34,7
2020-04-02,30,17,4,30,6
2020-04-01,30,20,7,30,3
2020-03-31,33,23,7,33,2
2020-03-30,33,20,10,33,1
2020-03-29,54,34,12,54,10
2020-03-28,44,32,3,44,7
2020-03-27,35,23,3,35,0
2020-03-26,31,16,6,31,4
2020-03-25,20,12,4,20,1
2020-03-24,31,25,6,31,3
2020-03-23,25,22,2,25,3
2020-03-22,36,28,4,36,9
2020-03-21,19,13,4,19,3
2020-03-20,23,21,1,23,0
2020-03-19,24,19,1,24,8
2020-03-18,27,18,4,27,3
2020-03-17,17,10,1,17,0
2020-03-16,38,32,4,38,1
2020-03-15,32,23,7,32,1
2020-03-14,27,14,4,27,1
2020-03-13,20,15,2,20,1
2020-03-12,17,16,2,17,2
2020-03-11,11,7,2,11,2
2020-03-10,18,18,2,18,0
2020-03-09,16,13,5,16,3
2020-03-08,38,15,7,38,3
2020-03-07,18,5,3,18,2
2020-03-06,21,13,4,21,4
2020-03-05,25,16,6,25,1
2020-03-04,20,13,8,20,3
2020-03-03,28,22,8,28,3
2020-03-02,14,8,2,14,0
2020-03-01,29,19,0,29,1
2020-02-29,32,19,3,32,1
2020-02-28,26,22,6,26,3
2020-02-27,18,14,4,18,0
2020-02-26,21,17,7,21,5
2020-02-25,14,10,5,14,5
2020-02-24,14,11,0,14,0
2020-02-23,33,24,3,33,0
2020-02-22,38,22,7,38,5
2020-02-21,33,13,5,33,2
2020-02-20,34,23,3,34,6
2020-02-19,27,16,6,27,3
2020-02-18,39,22,7,39,7
2020-02-17,58,25,13,58,8
2020-02-16,43,27,17,43,6
2020-02-15,36,25,4,36,4
2020-02-14,51,31,11,51,2
2020-02-13,20,8,1,20,2
2020-02-12,21,13,4,21,2
2020-02-11,31,19,5,31,2
2020-02-10,20,17,11,20,3
2020-02-09,24,17,2,24,2
2020-02-08,23,14,1,23,0
2020-02-07,25,15,5,25,3
2020-02-06,23,15,3,23,2
2020-02-05,39,23,4,39,5
2020-02-04,25,13,9,25,3
2020-02-03,27,20,3,27,0
2020-02-02,13,12,1,13,1
2020-02-01,35,16,9,35,1
2020-01-31,14,10,0,14,2
