date,count,count_gay,count_straight,count_aroace,count_polysexual
2020-08-24,72,65,21,7,72
2020-08-23,71,64,16,3,71
2020-08-22,63,51,17,2,63
2020-08-21,71,63,22,3,71
2020-08-20,58,48,27,10,58
2020-08-19,69,61,31,2,69
2020-08-18,65,56,22,5,65
2020-08-17,49,45,17,5,49
2020-08-16,75,67,21,8,75
2020-08-15,65,61,20,3,65
2020-08-14,55,44,25,2,55
2020-08-13,57,52,20,2,57
2020-08-12,64,55,26,2,64
2020-08-11,79,70,17,10,79
2020-08-10,63,57,26,5,63
2020-08-09,67,62,23,3,67
2020-08-08,49,43,15,0,49
2020-08-07,74,64,27,4,74
2020-08-06,66,64,28,1,66
2020-08-05,79,71,29,9,79
2020-08-04,75,65,36,6,75
2020-08-03,77,67,29,3,77
2020-08-02,80,77,27,3,80
2020-08-01,68,59,26,2,68
2020-07-31,79,69,34,8,79
2020-07-30,61,56,24,0,61
2020-07-29,78,71,22,1,78
2020-07-28,90,75,47,4,90
2020-07-27,103,88,45,7,103
2020-07-26,86,75,46,2,86
2020-07-25,68,57,31,8,68
2020-07-24,66,57,27,3,66
2020-07-23,71,64,19,2,71
2020-07-22,64,56,19,0,64
2020-07-21,65,60,18,3,65
2020-07-20,68,61,19,2,68
2020-07-19,78,73,17,0,78
2020-07-18,62,53,24,2,62
2020-07-17,83,79,24,10,83
2020-07-16,73,69,27,9,73
2020-07-15,73,61,18,2,73
2020-07-14,58,49,17,5,58
2020-07-13,76,69,23,6,76
2020-07-12,76,68,25,0,76
2020-07-11,56,49,29,9,56
2020-07-10,54,47,26,2,54
2020-07-09,80,66,26,3,80
2020-07-08,60,56,17,3,60
2020-07-07,79,68,27,7,79
2020-07-06,65,57,20,1,65
2020-07-05,70,55,18,0,70
2020-07-04,81,76,26,0,81
2020-07-03,78,71,29,9,78
2020-07-02,73,59,29,6,73
2020-07-01,83,75,31,6,83
2020-06-30,93,75,24,8,93
2020-06-29,71,64,27,4,71
2020-06-28,71,63,19,5,71
2020-06-27,79,71,36,12,79
2020-06-26,57,52,14,2,57
2020-06-25,64,59,13,4,64
2020-06-24,63,57,13,6,63
2020-06-23,84,76,35,14,84
2020-06-22,92,74,34,4,92
2020-06-21,80,74,25,6,80
2020-06-20,68,59,14,4,68
2020-06-19,72,57,21,7,72
2020-06-18,62,48,21,5,62
2020-06-17,55,48,21,6,55
2020-06-16,61,57,19,1,61
2020-06-15,60,53,22,7,60
2020-06-14,74,62,27,10,74
2020-06-13,73,59,23,6,73
2020-06-12,65,58,23,9,65
2020-06-11,66,53,29,10,66
2020-06-10,65,59,17,7,65
2020-06-09,66,64,15,12,66
2020-06-08,71,60,27,4,71
2020-06-07,95,78,24,8,95
2020-06-06,79,64,29,3,79
2020-06-05,77,57,18,1,77
2020-06-04,74,63,24,4,74
2020-06-03,57,50,21,4,57
2020-06-02,72,61,18,15,72
2020-06-01,102,94,29,7,102
2020-05-31,66,60,25,6,66
2020-05-30,57,54,19,9,57
2020-05-29,80,72,29,3,80
2020-05-28,50,38,19,4,50
2020-05-27,76,68,24,12,76
2020-05-26,77,68,22,2,77
2020-05-25,79,70,27,6,79
2020-05-24,46,40,12,4,46
2020-05-23,63,48,17,11,63
2020-05-22,61,56,23,0,61
2020-05-21,63,58,15,6,63
2020-05-20,64,54,14,0,64
2020-05-19,56,50,16,2,56
2020-05-18,93,73,53,7,93
2020-05-17,56,50,19,3,56
2020-05-16,71,58,20,1,71
2020-05-15,68,58,26,1,68
2020-05-14,69,65,24,4,69
2020-05-13,61,49,28,5,61
2020-05-12,50,48,16,4,50
2020-05-11,64,53,25,1,64
2020-05-10,71,64,21,2,71
2020-05-09,65,60,15,9,65
2020-05-08,61,56,24,2,61
2020-05-07,63,54,24,3,63
2020-05-06,66,57,20,5,66
2020-05-05,40,38,19,6,40
2020-05-04,70,53,16,4,70
2020-05-03,55,47,21,4,55
2020-05-02,49,43,11,2,49
2020-05-01,73,63,39,12,73
2020-04-30,78,73,31,4,78
2020-04-29,78,69,24,10,78
2020-04-28,70,63,32,3,70
2020-04-27,62,60,24,2,62
2020-04-26,67,62,14,5,67
2020-04-25,58,52,31,5,58
2020-04-24,59,53,16,4,59
2020-04-23,46,38,22,1,46
2020-04-22,52,46,9,3,52
2020-04-21,76,64,27,1,76
2020-04-20,50,42,26,1,50
2020-04-19,84,77,35,4,84
2020-04-18,86,83,27,0,86
2020-04-17,64,56,27,6,64
2020-04-16,64,55,27,4,64
2020-04-15,55,46,17,4,55
2020-04-14,48,41,16,7,48
2020-04-13,60,45,20,5,60
2020-04-12,82,74,25,6,82
2020-04-11,63,48,26,2,63
2020-04-10,62,53,31,3,62
2020-04-09,70,66,17,4,70
2020-04-08,76,53,37,4,76
2020-04-07,66,56,27,7,66
2020-04-06,56,47,15,0,56
2020-04-05,72,63,14,3,72
2020-04-04,62,56,17,6,62
2020-04-03,37,35,12,3,37
2020-04-02,65,59,24,9,65
2020-04-01,61,49,18,2,61
2020-03-31,55,50,14,2,55
2020-03-30,57,49,17,1,57
2020-03-29,63,60,17,4,63
2020-03-28,49,41,19,3,49
2020-03-27,54,53,17,0,54
2020-03-26,61,56,29,5,61
2020-03-25,52,50,24,3,52
2020-03-24,82,69,33,5,82
2020-03-23,62,50,13,3,62
2020-03-22,81,67,35,7,81
2020-03-21,58,45,16,5,58
2020-03-20,57,51,24,0,57
2020-03-19,60,55,21,5,60
2020-03-18,62,52,19,4,62
2020-03-17,38,35,13,0,38
2020-03-16,68,59,26,1,68
2020-03-15,42,36,21,1,42
2020-03-14,47,43,16,2,47
2020-03-13,27,23,9,1,27
2020-03-12,44,43,10,4,44
2020-03-11,41,30,16,2,41
2020-03-10,53,43,21,0,53
2020-03-09,36,34,11,2,36
2020-03-08,43,39,11,2,43
2020-03-07,45,37,17,5,45
2020-03-06,29,26,9,4,29
2020-03-05,35,26,11,2,35
