date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2020-10-24,bisexual,72,59,28,1,72
2020-10-23,bisexual,85,77,38,2,85
2020-10-22,bisexual,94,89,28,1,94
2020-10-21,bisexual,61,55,19,4,61
2020-10-20,bisexual,90,68,23,1,90
2020-10-19,bisexual,99,83,31,8,99
2020-10-18,bisexual,83,75,34,2,83
2020-10-17,bisexual,71,60,21,3,71
2020-10-16,bisexual,61,55,21,0,61
2020-10-15,bisexual,80,77,25,3,80
2020-10-14,bisexual,75,69,27,8,75
2020-10-13,bisexual,61,53,17,9,61
2020-10-12,bisexual,100,82,35,7,100
2020-10-11,bisexual,87,78,37,7,87
2020-10-10,bisexual,74,58,29,4,74
2020-10-09,bisexual,86,66,35,3,86
2020-10-08,bisexual,47,39,20,0,47
2020-10-07,bisexual,63,58,20,0,63
2020-10-06,bisexual,67,64,9,3,67
2020-10-05,bisexual,88,68,43,2,88
2020-10-04,bisexual,84,74,38,3,84
2020-10-03,bisexual,85,79,51,3,85
2020-10-02,bisexual,73,66,26,7,73
2020-10-01,bisexual,81,70,30,8,81
2020-09-30,bisexual,82,65,31,5,82
2020-09-29,bisexual,69,52,26,4,69
2020-09-28,bisexual,70,57,30,3,70
2020-09-27,bisexual,69,53,24,2,69
2020-09-26,bisexual,52,43,15,8,52
2020-09-25,bisexual,65,58,17,5,65
2020-09-24,bisexual,81,68,32,8,81
2020-09-23,bisexual,73,59,20,4,73
2020-09-22,bisexual,63,57,26,2,63
2020-09-21,bisexual,53,48,10,1,53
2020-09-20,bisexual,69,57,29,2,69
2020-09-19,bisexual,67,59,24,7,67
2020-09-18,bisexual,52,45,10,1,52
2020-09-17,bisexual,83,67,36,1,83
2020-09-16,bisexual,52,44,21,2,52
2020-09-15,bisexual,68,54,28,1,68
2020-09-14,bisexual,60,52,19,0,60
2020-09-13,bisexual,67,58,23,6,67
2020-09-12,bisexual,66,55,27,7,66
2020-09-11,bisexual,44,40,14,3,44
2020-09-10,bisexual,50,38,16,3,50
2020-09-09,bisexual,68,61,18,7,68
2020-09-08,bisexual,80,71,23,4,80
2020-09-07,bisexual,76,62,30,13,76
2020-09-06,bisexual,84,67,37,5,84
2020-09-05,bisexual,65,55,29,4,65
2020-09-04,bisexual,62,52,29,5,62
2020-09-03,bisexual,56,53,25,6,56
2020-09-02,bisexual,70,61,26,4,70
2020-09-01,bisexual,66,60,18,5,66
2020-08-31,bisexual,77,69,36,13,77
2020-08-30,bisexual,59,49,20,4,59
2020-08-29,bisexual,56,45,13,2,56
2020-08-28,bisexual,58,49,19,2,58
2020-08-27,bisexual,51,45,13,4,51
2020-08-26,bisexual,68,64,23,3,68
2020-08-25,bisexual,58,51,13,1,58
2020-08-24,bisexual,69,62,20,6,69
2020-08-23,bisexual,69,64,15,3,69
2020-08-22,bisexual,63,51,17,2,63
2020-08-21,bisexual,70,62,21,2,70
2020-08-20,bisexual,54,44,25,8,54
2020-08-19,bisexual,67,59,29,2,67
2020-08-18,bisexual,63,54,22,4,63
2020-08-17,bisexual,44,41,15,3,44
2020-08-16,bisexual,71,64,19,7,71
2020-08-15,bisexual,64,60,19,3,64
2020-08-14,bisexual,54,43,24,2,54
2020-08-13,bisexual,56,51,20,2,56
2020-08-12,bisexual,63,55,25,2,63
2020-08-11,bisexual,75,66,16,9,75
2020-08-10,bisexual,61,56,24,4,61
2020-08-09,bisexual,66,61,22,3,66
2020-08-08,bisexual,49,43,15,0,49
2020-08-07,bisexual,72,62,25,3,72
2020-08-06,bisexual,64,62,26,1,64
2020-08-05,bisexual,77,69,28,7,77
2020-08-04,bisexual,72,63,33,5,72
2020-08-03,bisexual,74,64,26,3,74
2020-08-02,bisexual,78,75,26,2,78
2020-08-01,bisexual,67,58,26,2,67
2020-07-31,bisexual,76,66,31,6,76
2020-07-30,bisexual,61,56,24,0,61
2020-07-29,bisexual,77,71,22,1,77
2020-07-28,bisexual,89,74,46,4,89
2020-07-27,bisexual,101,87,44,7,101
2020-07-26,bisexual,84,74,45,2,84
2020-07-25,bisexual,64,54,29,7,64
2020-07-24,bisexual,65,56,27,2,65
2020-07-23,bisexual,70,63,19,2,70
2020-07-22,bisexual,62,55,17,0,62
2020-07-21,bisexual,65,60,18,3,65
2020-07-20,bisexual,64,58,18,2,64
2020-07-19,bisexual,78,73,17,0,78
2020-07-18,bisexual,61,52,24,2,61
2020-07-17,bisexual,77,73,20,7,77
2020-07-16,bisexual,71,67,26,7,71
2020-07-15,bisexual,71,59,17,1,71
2020-07-14,bisexual,58,49,17,5,58
2020-07-13,bisexual,73,66,21,6,73
2020-07-12,bisexual,74,66,24,0,74
2020-07-11,bisexual,54,47,27,8,54
2020-07-10,bisexual,53,46,26,1,53
2020-07-09,bisexual,80,66,26,3,80
2020-07-08,bisexual,59,55,17,3,59
2020-07-07,bisexual,78,67,26,6,78
2020-07-06,bisexual,60,54,18,1,60
2020-07-05,bisexual,67,53,18,0,67
2020-07-04,bisexual,78,73,25,0,78
2020-07-03,bisexual,75,69,28,8,75
2020-07-02,bisexual,70,57,28,5,70
2020-07-01,bisexual,81,74,30,5,81
2020-06-30,bisexual,90,72,23,7,90
2020-06-29,bisexual,70,63,27,4,70
2020-06-28,bisexual,67,60,16,4,67
2020-06-27,bisexual,72,64,30,11,72
2020-06-26,bisexual,53,50,13,2,53
2020-06-25,bisexual,59,54,13,3,59
2020-06-24,bisexual,58,52,13,4,58
2020-06-23,bisexual,80,73,33,13,80
2020-06-22,bisexual,90,72,32,4,90
2020-06-21,bisexual,76,71,25,6,76
2020-06-20,bisexual,63,55,12,3,63
2020-06-19,bisexual,69,54,18,6,69
2020-06-18,bisexual,56,42,17,3,56
2020-06-17,bisexual,52,45,19,4,52
2020-06-16,bisexual,60,56,19,1,60
2020-06-15,bisexual,57,50,20,6,57
2020-06-14,bisexual,67,57,22,8,67
2020-06-13,bisexual,69,56,22,5,69
2020-06-12,bisexual,60,54,20,8,60
2020-06-11,bisexual,64,51,28,9,64
2020-06-10,bisexual,62,56,15,5,62
2020-06-09,bisexual,62,60,12,10,62
2020-06-08,bisexual,68,57,26,4,68
2020-06-07,bisexual,91,75,23,6,91
2020-06-06,bisexual,75,60,28,2,75
2020-06-05,bisexual,76,57,18,1,76
2020-06-04,bisexual,68,59,21,4,68
2020-06-03,bisexual,54,47,19,3,54
2020-06-02,bisexual,67,57,17,13,67
2020-06-01,bisexual,99,91,26,5,99
2020-05-31,bisexual,65,59,25,6,65
2020-05-30,bisexual,57,54,19,9,57
2020-05-29,bisexual,79,71,28,3,79
2020-05-28,bisexual,50,38,19,4,50
2020-05-27,bisexual,74,66,23,11,74
2020-05-26,bisexual,77,68,22,2,77
2020-05-25,bisexual,76,67,25,6,76
2020-05-24,bisexual,44,38,12,4,44
2020-05-23,bisexual,62,47,16,10,62
2020-05-22,bisexual,58,53,22,0,58
2020-05-21,bisexual,61,56,15,5,61
2020-05-20,bisexual,62,52,12,0,62
2020-05-19,bisexual,54,50,16,2,54
2020-05-18,bisexual,88,70,50,5,88
2020-05-17,bisexual,55,49,19,3,55
2020-05-16,bisexual,68,55,19,0,68
2020-05-15,bisexual,66,56,24,1,66
2020-05-14,bisexual,66,62,23,3,66
2020-05-13,bisexual,58,46,26,3,58
2020-05-12,bisexual,48,46,15,4,48
2020-05-11,bisexual,63,53,25,1,63
2020-05-10,bisexual,67,60,17,1,67
2020-05-09,bisexual,64,59,14,8,64
2020-05-08,bisexual,58,53,23,2,58
2020-05-07,bisexual,60,51,22,2,60
2020-05-06,bisexual,63,54,18,4,63
2020-05-05,bisexual,40,38,19,6,40
2020-05-04,bisexual,69,52,15,3,69
2020-05-03,bisexual,54,46,21,4,54
2020-05-02,bisexual,48,43,11,1,48
2020-05-01,bisexual,70,60,36,12,70
2020-04-30,bisexual,75,70,30,4,75
2020-04-29,bisexual,77,68,23,10,77
2020-04-28,bisexual,67,60,31,2,67
2020-04-27,bisexual,57,55,21,1,57
2020-04-26,bisexual,66,61,14,5,66
2020-04-25,bisexual,57,51,30,5,57
2020-04-24,bisexual,57,51,16,4,57
2020-04-23,bisexual,45,37,22,1,45
2020-04-22,bisexual,50,44,9,3,50
2020-04-21,bisexual,74,62,25,1,74
2020-04-20,bisexual,48,40,25,1,48
2020-04-19,bisexual,82,75,35,4,82
2020-04-18,bisexual,86,83,27,0,86
2020-04-17,bisexual,61,53,26,6,61
2020-04-16,bisexual,61,53,27,3,61
2020-04-15,bisexual,55,46,17,4,55
2020-04-14,bisexual,48,41,16,7,48
2020-04-13,bisexual,59,45,19,4,59
2020-04-12,bisexual,81,73,24,6,81
2020-04-11,bisexual,63,48,26,2,63
2020-04-10,bisexual,61,53,30,2,61
2020-04-09,bisexual,65,63,16,3,65
2020-04-08,bisexual,75,52,36,3,75
2020-04-07,bisexual,66,56,27,7,66
2020-04-06,bisexual,51,42,13,0,51
2020-04-05,bisexual,68,59,13,3,68
2020-04-04,bisexual,59,53,17,5,59
2020-04-03,bisexual,36,34,12,3,36
2020-04-02,bisexual,62,56,23,8,62
2020-04-01,bisexual,59,47,17,1,59
2020-03-31,bisexual,53,49,13,2,53
2020-03-30,bisexual,56,48,16,1,56
2020-03-29,bisexual,61,58,16,4,61
2020-03-28,bisexual,48,40,18,3,48
2020-03-27,bisexual,50,49,17,0,50
2020-03-26,bisexual,60,55,28,4,60
2020-03-25,bisexual,51,49,23,3,51
2020-03-24,bisexual,79,66,30,4,79
2020-03-23,bisexual,61,49,13,3,61
2020-03-22,bisexual,77,63,33,7,77
2020-03-21,bisexual,57,44,16,4,57
2020-03-20,bisexual,54,48,24,0,54
2020-03-19,bisexual,58,53,20,5,58
2020-03-18,bisexual,58,50,18,3,58
2020-03-17,bisexual,38,35,13,0,38
2020-03-16,bisexual,67,59,26,1,67
2020-03-15,bisexual,41,35,21,1,41
2020-03-14,bisexual,44,40,14,2,44
2020-03-13,bisexual,26,22,9,1,26
2020-03-12,bisexual,43,42,10,4,43
2020-03-11,bisexual,41,30,16,2,41
2020-03-10,bisexual,53,43,21,0,53
2020-03-09,bisexual,35,33,10,2,35
2020-03-08,bisexual,41,37,9,2,41
2020-03-07,bisexual,44,36,17,5,44
2020-03-06,bisexual,28,25,9,3,28
2020-03-05,bisexual,34,26,10,2,34
2020-03-04,bisexual,30,24,17,2,30
2020-03-03,bisexual,40,37,15,4,40
2020-03-02,bisexual,41,39,14,0,41
2020-03-01,bisexual,57,52,19,1,57
2020-02-29,bisexual,39,32,19,1,39
2020-02-28,bisexual,45,37,22,2,45
2020-02-27,bisexual,28,25,5,0,28
2020-02-26,bisexual,36,29,15,4,36
2020-02-25,bisexual,27,22,4,3,27
2020-02-24,bisexual,49,39,13,0,49
2020-02-23,bisexual,39,36,16,0,39
2020-02-22,bisexual,42,34,14,1,42
2020-02-21,bisexual,31,29,11,2,31
2020-02-20,bisexual,37,33,14,3,37
2020-02-19,bisexual,38,37,9,6,38
2020-02-18,bisexual,49,45,16,4,49
2020-02-17,bisexual,38,32,10,3,38
2020-02-16,bisexual,42,38,14,4,42
2020-02-15,bisexual,41,35,13,1,41
2020-02-14,bisexual,38,35,13,3,38
2020-02-13,bisexual,37,34,15,1,37
2020-02-12,bisexual,38,37,8,1,38
2020-02-11,bisexual,30,25,10,5,30
2020-02-10,bisexual,36,35,14,1,36
2020-02-09,bisexual,57,48,17,2,57
2020-02-08,bisexual,23,19,8,0,23
2020-02-07,bisexual,27,20,13,1,27
2020-02-06,bisexual,35,33,14,3,35
2020-02-05,bisexual,29,24,10,3,29
2020-02-04,bisexual,34,28,19,2,34
2020-02-03,bisexual,43,37,18,0,43
2020-02-02,bisexual,37,34,19,2,37
2020-02-01,bisexual,31,28,15,1,31
2020-01-31,bisexual,33,29,15,0,33
2020-01-30,bisexual,32,29,10,6,32
2020-01-29,bisexual,25,21,8,0,25
2020-01-28,bisexual,28,26,8,2,28
2020-01-27,bisexual,48,45,12,3,48
2020-01-26,bisexual,50,44,22,7,50
2020-01-25,bisexual,34,30,15,0,34
2020-01-24,bisexual,33,23,13,0,33
2020-01-23,bisexual,25,20,9,1,25
2020-01-22,bisexual,34,32,12,7,34
2020-01-21,bisexual,56,46,21,3,56
2020-01-20,bisexual,39,33,14,0,39
2020-01-19,bisexual,35,29,10,1,35
2020-01-18,bisexual,25,21,6,0,25
2020-01-17,bisexual,39,36,18,3,39
2020-01-16,bisexual,30,22,8,0,30
2020-01-15,bisexual,27,20,7,1,27
2020-01-14,bisexual,31,28,12,0,31
2020-01-13,bisexual,46,42,13,5,46
2020-01-12,bisexual,30,25,14,2,30
2020-01-11,bisexual,34,28,19,1,34
2020-01-10,bisexual,39,34,12,0,39
2020-01-09,bisexual,33,27,9,1,33
2020-01-08,bisexual,37,34,14,6,37
2020-01-07,bisexual,39,35,15,2,39
2020-01-06,bisexual,50,46,15,0,50
2020-01-05,bisexual,56,45,18,4,56
2020-01-04,bisexual,76,72,29,2,76
2020-01-03,bisexual,44,37,17,0,44
2020-01-02,bisexual,51,40,14,1,51
2020-01-01,bisexual,41,39,14,1,41
2019-12-31,bisexual,49,37,16,4,49
2019-12-30,bisexual,57,44,16,0,57
2019-12-29,bisexual,47,40,17,4,47
2019-12-28,bisexual,51,44,19,4,51
2019-12-27,bisexual,30,27,5,0,30
2019-12-26,bisexual,30,28,10,1,30
2019-12-25,bisexual,34,30,7,3,34
2019-12-24,bisexual,38,32,7,0,38
2019-12-23,bisexual,41,35,11,3,41
2019-12-22,bisexual,50,44,23,2,50
2019-12-21,bisexual,30,27,12,2,30
2019-12-20,bisexual,22,21,9,1,22
2019-12-19,bisexual,26,23,5,1,26
2019-12-18,bisexual,37,32,14,1,37
2019-12-17,bisexual,45,34,14,7,45
2019-12-16,bisexual,40,33,15,0,40
2019-12-15,bisexual,38,32,14,0,38
2019-12-14,bisexual,26,22,8,1,26
2019-12-13,bisexual,24,21,5,2,24
2019-12-12,bisexual,39,35,9,7,39
2019-12-11,bisexual,36,24,13,0,36
2019-12-10,bisexual,38,31,16,0,38
2019-12-09,bisexual,35,32,10,2,35
2019-12-08,bisexual,48,43,20,0,48
2019-12-07,bisexual,48,42,19,0,48
2019-12-06,bisexual,31,25,17,1,31
2019-12-05,bisexual,33,31,11,3,33
