date,tag,count,count_gay,count_straight,count_aroace,count_polysexual
2020-10-01,aromantic,2,1,1,2,0
2020-09-30,aromantic,6,3,3,6,1
2020-09-29,aromantic,4,2,0,4,0
2020-09-28,aromantic,3,0,2,3,0
2020-09-27,aromantic,5,2,2,5,0
2020-09-26,aromantic,4,4,0,4,1
2020-09-25,aromantic,3,1,0,3,0
2020-09-24,aromantic,1,1,1,1,0
2020-09-23,aromantic,1,0,0,1,0
2020-09-22,aromantic,4,1,0,4,0
2020-09-21,aromantic,4,4,1,4,0
2020-09-20,aromantic,3,2,1,3,0
2020-09-19,aromantic,3,2,1,3,1
2020-09-18,aromantic,2,2,0,2,0
2020-09-17,aromantic,7,4,2,7,0
2020-09-16,aromantic,2,1,1,2,0
2020-09-15,aromantic,8,6,0,8,0
2020-09-14,aromantic,6,2,0,6,0
2020-09-13,aromantic,1,1,0,1,1
2020-09-12,aromantic,7,3,0,7,0
2020-09-11,aromantic,1,0,0,1,0
2020-09-10,aromantic,5,2,1,5,0
2020-09-09,aromantic,5,3,0,5,1
2020-09-08,aromantic,5,2,0,5,1
2020-09-07,aromantic,6,2,0,6,0
2020-09-06,aromantic,5,2,1,5,0
2020-09-05,aromantic,13,4,2,13,2
2020-09-04,aromantic,6,2,2,6,0
2020-09-03,aromantic,2,2,2,2,1
2020-09-02,aromantic,9,6,2,9,0
2020-09-01,aromantic,1,1,0,1,0
2020-08-31,aromantic,2,2,0,2,1
2020-08-30,aromantic,6,4,2,6,1
2020-08-29,aromantic,10,4,1,10,0
2020-08-28,aromantic,4,0,1,4,0
2020-08-27,aromantic,4,3,0,4,0
2020-08-26,aromantic,2,1,0,2,0
2020-08-25,aromantic,2,1,1,2,0
2020-08-24,aromantic,8,6,2,8,1
2020-08-23,aromantic,8,4,2,8,0
2020-08-22,aromantic,10,3,1,10,0
2020-08-21,aromantic,1,0,0,1,0
2020-08-20,aromantic,9,7,3,9,3
2020-08-19,aromantic,3,2,1,3,1
2020-08-18,aromantic,7,4,2,7,3
2020-08-17,aromantic,4,1,1,4,0
2020-08-16,aromantic,8,2,3,8,2
2020-08-15,aromantic,3,0,0,3,0
2020-08-14,aromantic,7,4,1,7,0
2020-08-13,aromantic,4,1,0,4,0
2020-08-12,aromantic,4,2,0,4,1
2020-08-11,aromantic,7,4,0,7,0
2020-08-10,aromantic,5,1,2,5,2
2020-08-09,aromantic,3,3,2,3,0
2020-08-08,aromantic,9,6,4,9,0
2020-08-07,aromantic,2,1,0,2,0
2020-08-06,aromantic,2,1,0,2,1
2020-08-05,aromantic,1,0,0,1,0
2020-08-04,aromantic,6,2,1,6,0
2020-08-03,aromantic,9,4,0,9,0
2020-08-02,aromantic,4,3,1,4,0
2020-08-01,aromantic,1,1,0,1,0
2020-07-31,aromantic,4,0,0,4,0
2020-07-30,aromantic,5,1,0,5,0
2020-07-29,aromantic,5,4,2,5,0
2020-07-28,aromantic,1,0,1,1,0
2020-07-27,aromantic,5,5,1,5,2
2020-07-26,aromantic,9,4,3,9,1
2020-07-25,aromantic,4,0,2,4,0
2020-07-24,aromantic,2,2,0,2,0
2020-07-23,aromantic,5,1,1,5,0
2020-07-22,aromantic,4,2,0,4,0
2020-07-21,aromantic,2,2,1,2,1
2020-07-19,aromantic,2,0,0,2,0
2020-07-18,aromantic,3,1,0,3,0
2020-07-17,aromantic,13,7,0,13,3
2020-07-16,aromantic,2,2,0,2,0
2020-07-15,aromantic,2,2,1,2,0
2020-07-14,aromantic,8,4,0,8,1
2020-07-13,aromantic,5,3,1,5,0
2020-07-12,aromantic,3,1,3,3,0
2020-07-11,aromantic,8,2,0,8,0
2020-07-10,aromantic,6,3,0,6,0
2020-07-09,aromantic,3,3,0,3,1
2020-07-08,aromantic,6,3,0,6,0
2020-07-07,aromantic,4,2,2,4,1
2020-07-06,aromantic,6,1,4,6,0
2020-07-05,aromantic,3,1,1,3,0
2020-07-04,aromantic,8,4,0,8,0
2020-07-03,aromantic,4,2,0,4,1
2020-07-02,aromantic,4,2,2,4,0
2020-07-01,aromantic,8,3,2,8,2
2020-06-30,aromantic,8,1,1,8,4
2020-06-29,aromantic,3,0,1,3,1
2020-06-28,aromantic,6,4,1,6,2
2020-06-27,aromantic,3,1,0,3,0
2020-06-26,aromantic,2,2,0,2,0
2020-06-25,aromantic,11,7,0,11,2
2020-06-24,aromantic,4,2,2,4,2
2020-06-23,aromantic,10,9,2,10,2
2020-06-22,aromantic,7,6,1,7,2
2020-06-21,aromantic,9,5,2,9,2
